date,spx_idx,spx_mkcap,fedbs,fedfundsrate,us10y,gdp_growth_real,gdp_growth_nom,gdp_real,gdp_nom,debt_gdp,short_debt,govexp_gdp,home_median,home_single_median,home_single_ave,median_earning
2009-12-31,1088.72359375,2193025.6153846155,2193025.6153846155,0.11870967741935484,3.448030303030303,4.3,3.481641791044776,15379.2,14651.25,18.22,4898750.0,291.94666666666666,170.96666666666667,170.29999999999998,216.1,747.0
2010-03-31,1123.594262295082,2276069.153846154,2276069.153846154,0.13672131147540983,3.7028125,2.0,3.693538461538462,15456.1,14764.61,18.98,4985234.0,265.01666666666665,166.36666666666667,165.73333333333335,211.6,748.0
2010-06-30,1134.5855555555556,2334630.3076923075,2334630.3076923075,0.19187500000000002,3.469384615384615,3.9,3.507727272727273,15605.6,14980.19,18.83,4925051.0,310.0466666666667,176.6,176.83333333333334,223.5,742.0
2010-09-30,1096.246875,2316144.923076923,2316144.923076923,0.1884375,2.7675757575757576,3.1,2.7919402985074626,15726.3,15141.61,19.11,4967372.0,284.9733333333333,176.9333333333333,177.83333333333334,226.4,746.0
2010-12-31,1204.5859375,2342860.846153846,2342860.846153846,0.18936507936507935,2.856060606060606,2.1,2.8805970149253732,15808.0,15309.47,19.23,5045363.0,300.25,169.86666666666667,170.5666666666667,219.20000000000002,750.0
2011-03-31,1302.529193548387,2516570.5384615385,2516570.5384615385,0.15548387096774194,3.438125,-1.0,3.4021538461538463,15769.9,15351.44,19.07,5354335.0,316.18666666666667,157.93333333333334,158.66666666666666,206.1,750.0
2011-06-30,1318.3331746031747,2756765.5384615385,2756765.5384615385,0.09328125,3.186,2.7,3.221060606060606,15876.8,15557.54,18.14,5245672.0,285.0833333333333,168.66666666666666,169.0666666666667,218.70000000000002,754.0
2011-09-30,1225.26875,2863584.4615384615,2863584.4615384615,0.08390625,2.4015151515151514,-0.2,2.4000000000000004,15870.7,15647.68,17.96,5344253.0,298.24333333333334,169.23333333333332,169.4333333333333,217.96666666666667,760.0
2011-12-31,1225.651904761905,2854991.6923076925,2854991.6923076925,0.07508196721311476,2.031230769230769,4.6,2.0777272727272726,16048.7,15842.27,18.27,5324887.0,292.39000000000004,162.33333333333334,162.56666666666666,208.96666666666667,760.0
2012-03-31,1348.784193548387,2912008.4615384615,2912008.4615384615,0.10629032258064516,2.018923076923077,3.3,2.076212121212121,16180.0,16068.82,19.2,5191822.0,322.06333333333333,158.33333333333334,158.6,205.20000000000002,764.0
2012-06-30,1349.67873015873,2862531.0,2862531.0,0.15453125,1.8058461538461539,1.8,1.8315151515151515,16253.7,16207.13,18.81,5040971.0,294.9866666666667,180.9333333333333,181.29999999999998,230.20000000000002,772.0
